       2       2  0.40801827D+00 -0.20200689D+01  0.24625328D+01  0.99866002D+02  0.10835366D+03  0.10729090D+03
       5       2  0.16820653D+01  0.36309045D+01  0.40065082D+01  0.32683832D+02  0.93733353D+02  0.98612028D+02
       5       7 -0.31375618D+01  0.18664106D+01  0.37268217D+01  0.33991601D+02  0.82299554D+02  0.73656638D+02
      12       4  0.51162842D+00  0.20940142D+01  0.24880724D+01  0.53349767D+02  0.53140770D+02  0.90390841D+02
      12       5 -0.19612775D+01  0.90160553D+00  0.24634262D+01  0.53264788D+02  0.49648062D+02  0.56987592D+01
      12       7  0.18255428D+01 -0.12498325D+01  0.24373695D+01  0.53435218D+02  0.12716646D+03  0.85950498D+02
      19       2 -0.18547918D+01  0.15231944D+01  0.24096815D+01  0.54221953D+02  0.97571957D+02  0.10159055D+03
      19       3  0.23822182D+01 -0.10856129D+01  0.26179364D+01  0.54344719D+02  0.10144702D+03  0.99051658D+02
      19       5  0.24395573D+01 -0.10135160D+01  0.26448908D+01  0.54210753D+02  0.10049527D+03  0.94082638D+02
      28       2 -0.55373144D+00 -0.31806139D+01  0.32307473D+01  0.24950704D+02  0.95452698D+02  0.85703701D+02
      28       4 -0.29942060D+01  0.90848020D+00  0.31304271D+01  0.25159119D+02  0.76141116D+02  0.78697101D+02
      28       6 -0.12507380D+00  0.33223874D+01  0.33274268D+01  0.25044858D+02  0.98332129D+02  0.94722873D+02
      30       2 -0.12799759D+01 -0.18901286D+01  0.22827770D+01  0.51957915D+02  0.71190734D+02  0.67785981D+02
      30       5 -0.22076861D+01  0.58499348D+00  0.23060319D+01  0.51941265D+02  0.10529966D+03  0.11786652D+03
      30       6  0.56033848D+00 -0.22464645D+01  0.24196769D+01  0.51945166D+02  0.77288010D+02  0.58914702D+02
      32       5 -0.10495299D+01 -0.27433184D+01  0.31169075D+01  0.60957654D+02  0.11753579D+03  0.10651757D+03
      33       2 -0.11732880D+01 -0.35808269D+01  0.37764343D+01  0.33876654D+02  0.94502241D+02  0.81017551D+02
      36       3 -0.95337535D-01  0.19583187D+01  0.19633716D+01  0.20125071D+02  0.64286089D+02  0.67075941D+02
      36       5 -0.17707601D+01 -0.36036914D+00  0.18387792D+01  0.20103838D+02  0.11489522D+03  0.11202688D+03
      36       7  0.85934064D+00 -0.16163337D+01  0.18307605D+01  0.20150208D+02  0.65056957D+02  0.56666904D+02
      37       5 -0.21746845D+01  0.17687063D+01  0.28605524D+01  0.87369243D+02  0.79813981D+02  0.63183239D+02
      44       5  0.20056536D+01  0.27464435D+01  0.34103393D+01  0.36247763D+02  0.77839896D+02  0.85908892D+02
      44       7 -0.30166431D+01 -0.95520606D+00  0.32023808D+01  0.36883801D+02  0.80852430D+02  0.87371297D+02
      46       3 -0.79762207D+00  0.30922811D+01  0.32149176D+01  0.72201204D+02  0.96117422D+02  0.95530280D+02
      46       4  0.36824301D+00  0.32388218D+01  0.32596918D+01  0.72256583D+02  0.79521135D+02  0.80731306D+02
      46       5  0.12400791D+00  0.32489305D+01  0.32668090D+01  0.71966633D+02  0.98679418D+02  0.10087318D+03
      46       7  0.25158417D+01 -0.16361472D+01  0.31241198D+01  0.72905921D+02  0.80317226D+02  0.56614942D+02
      48       3 -0.26394138D+01  0.52310310D-01  0.26411927D+01  0.47089251D+02  0.84509478D+02  0.88427696D+02
      48       4  0.22851054D+01  0.18123221D+01  0.29186210D+01  0.47113768D+02  0.87470186D+02  0.82073787D+02
      48       6 -0.24574106D+01  0.11166057D+01  0.26992078D+01  0.46971182D+02  0.95250381D+02  0.98402721D+02
      51       2 -0.18826520D+01  0.16996116D+01  0.25626220D+01  0.65998467D+02  0.33633045D+02  0.22552878D+02
      51       5  0.87744546D+00 -0.18655962D+01  0.26047735D+01  0.65958346D+02  0.48153285D+02  0.97001630D+02
      55       2 -0.21487935D+01 -0.60834277D+00  0.23973951D+01  0.24212135D+02  0.13877068D+03  0.16859126D+03
      55       5  0.18183048D+01  0.15260384D+01  0.24911889D+01  0.24197902D+02  0.14265473D+03  0.13584728D+03
      56       2  0.23957991D+01  0.18190225D+01  0.30086166D+01  0.59248766D+02  0.94534390D+02  0.95642191D+02
      56       4  0.25056899D+01  0.11637178D+01  0.27657490D+01  0.59461734D+02  0.95627269D+02  0.96079475D+02
      56       6  0.25800799D+01  0.12347405D+01  0.28606706D+01  0.59281212D+02  0.86384310D+02  0.89831566D+02
      56       7  0.29474445D+01 -0.37485441D+00  0.29764479D+01  0.59883526D+02  0.93574980D+02  0.91707256D+02
      59       4  0.32212252D+01 -0.15823975D+00  0.32330887D+01  0.55069717D+02  0.83565232D+02  0.90454089D+02
      59       6  0.32632557D+01  0.28614931D+00  0.32914812D+01  0.54870636D+02  0.84969046D+02  0.75814584D+02
      59       7  0.18287640D+01 -0.22892557D+01  0.29405900D+01  0.55680172D+02  0.79057651D+02  0.79265049D+02
      63       2  0.22879362D+01 -0.14786094D+01  0.28042502D+01  0.62658611D+02  0.42768009D+02  0.59217705D+02
      64       2  0.14074358D+01  0.36521840D+01  0.39141777D+01  0.58734122D+02  0.88875752D+02  0.87864524D+02
      66       3  0.19878359D+01 -0.22389023D+01  0.29948819D+01  0.63586678D+02  0.90961391D+02  0.94933858D+02
      78       2  0.32083635D+01  0.65606742D+00  0.32748823D+01  0.75725515D+02  0.76807780D+02  0.76354977D+02
      78       3  0.23924785D+01 -0.18428378D+01  0.30502990D+01  0.76014351D+02  0.10190350D+03  0.11550950D+03
      78       4 -0.23818642D+01 -0.15138609D+01  0.28222876D+01  0.76049739D+02  0.10723569D+03  0.10734584D+03
      78       5  0.31407116D+00  0.30761763D+01  0.31501539D+01  0.75774140D+02  0.97129405D+02  0.86838158D+02
      78       7 -0.20734860D+01  0.17678311D+01  0.27870009D+01  0.76707744D+02  0.79711701D+02  0.66596950D+02
      79       4  0.93727274D+00 -0.26134776D+01  0.27867097D+01  0.27145586D+02  0.14013959D+03  0.12491831D+03
      79       6  0.20673799D+01  0.21347042D+01  0.30248703D+01  0.27075545D+02  0.13546919D+03  0.13800935D+03
      83       5  0.17584360D+01 -0.10623626D+01  0.20919329D+01  0.61451122D+02  0.39007751D+02  0.46932057D+02
      83       6  0.58062076D+00  0.19445339D+01  0.21277980D+01  0.61446206D+02  0.39349386D+02  0.69423106D+02
      83       7 -0.14331629D+01 -0.28786807D+00  0.20051591D+01  0.61544191D+02  0.12165080D+03  0.10863673D+03
      88       4 -0.17543663D+01 -0.11740013D+01  0.23106844D+01  0.84744911D+02  0.11906348D+03  0.15871718D+03
      88       6 -0.19328901D+01  0.21632930D+00  0.22553183D+01  0.84609739D+02  0.75257085D+02  0.91819693D+02
      88       7  0.19281667D+01 -0.64383036D+00  0.24019593D+01  0.84912148D+02  0.10518811D+03  0.52237412D+02
      90       6 -0.19882736D+01 -0.23822448D+01  0.31241061D+01  0.21901495D+02  0.61450891D+02  0.49127201D+02
     100       2  0.29203691D+01  0.68332816D+00  0.30034050D+01  0.97641470D+02  0.87444065D+02  0.80838610D+02
     100       3 -0.26423912D+01  0.13699002D+01  0.30016734D+01  0.98009921D+02  0.88498969D+02  0.91365165D+02
     102       2  0.24955694D+01 -0.11304057D+01  0.27627074D+01  0.49923271D+02  0.98732109D+02  0.86269769D+02
     102       5 -0.26597105D+00  0.28305942D+01  0.28612579D+01  0.49923256D+02  0.97465055D+02  0.96556384D+02
     102       6  0.96016006D+00 -0.24237563D+01  0.26070475D+01  0.49939219D+02  0.77987320D+02  0.84476145D+02
     109       4  0.29026944D+01  0.78429862D-02  0.29127421D+01  0.97365573D+02  0.85413701D+02  0.81319728D+02
     109       5  0.23171070D+01  0.12639751D+01  0.26552167D+01  0.97098655D+02  0.96873065D+02  0.96365472D+02
     109       7  0.11371992D+01  0.23542873D+01  0.26153796D+01  0.97902091D+02  0.79898273D+02  0.78729669D+02
     111       2  0.13059888D+01 -0.19639925D+01  0.24262501D+01  0.89243926D+02  0.91123154D+02  0.12045442D+03
     111       4 -0.19195457D+01  0.13600823D+01  0.24772723D+01  0.89409472D+02  0.80485888D+02  0.49610284D+02
     111       6  0.13858750D+01  0.21064718D+01  0.25493145D+01  0.89226067D+02  0.70263307D+02  0.54980945D+02
     115       2 -0.19630824D+00  0.25714101D+01  0.25812532D+01  0.27870198D+02  0.83822286D+02  0.85481101D+02
     119       4  0.35137064D+00 -0.26209981D+01  0.26960438D+01  0.34011484D+02  0.11500096D+03  0.98744282D+02
     119       5  0.23957009D+01 -0.11603176D+01  0.27176661D+01  0.33920625D+02  0.11971341D+03  0.13157490D+03
     119       6  0.25432645D+01  0.97253575D+00  0.28349778D+01  0.33917845D+02  0.68072824D+02  0.38783738D+02
     119       7  0.25034088D+01  0.13415222D+01  0.29563498D+01  0.34149938D+02  0.11294189D+03  0.10559865D+03
