a+b
    2015       3      18       3      22

L = 2.00
alpha0 (deg) / E (MeV) / j0, sigma (cm2.sr.s.MeV)^-1
     176.4    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00

L = 2.20
alpha0 (deg) / E (MeV) / j0, sigma (cm2.sr.s.MeV)^-1
                 26.00                   34.00                   42.00                   58.00
       3.6    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00
      10.8    7.82e-01    3.30e-01    2.95e-01    1.83e-02    1.30e-01    8.83e-02    7.89e-02    1.83e-02
      18.0    1.94e+00    1.15e+00    9.50e-01    2.72e-01    1.39e-01    1.08e-01    1.02e-01    5.55e-02
      25.2    4.16e+00    2.70e+00    1.91e+00    8.07e-01    1.62e-01    1.30e-01    1.08e-01    7.10e-02
      32.4    6.79e+00    3.83e+00    2.87e+00    1.38e+00    2.18e-01    1.59e-01    1.39e-01    1.02e-01
      39.6    9.72e+00    4.81e+00    3.21e+00    2.08e+00    2.97e-01    2.09e-01    1.69e-01    1.37e-01
      46.8    1.51e+01    5.98e+00    4.25e+00    2.56e+00    4.51e-01    2.84e-01    2.40e-01    1.83e-01
      54.0    2.51e+01    6.57e+00    4.50e+00    3.78e+00    6.62e-01    3.36e-01    2.84e-01    2.58e-01
      61.2    4.14e+01    9.60e+00    5.84e+00    4.01e+00    1.01e+00    4.79e-01    3.76e-01    3.14e-01
      68.4    6.47e+01    1.28e+01    6.63e+00    5.37e+00    1.88e+00    8.34e-01    6.00e-01    5.42e-01
      75.6    8.82e+01    1.51e+01    8.14e+00    5.18e+00    2.71e+00    1.10e+00    8.18e-01    6.52e-01
      82.8    1.08e+02    1.59e+01    8.05e+00    6.08e+00    4.78e+00    1.83e+00    1.26e+00    1.11e+00
      90.0    1.18e+02    1.49e+01    9.39e+00    5.30e+00    1.14e+01    3.84e+00    2.97e+00    2.37e+00
      97.2    1.03e+02    1.77e+01    1.13e+01    4.44e+00    4.65e+00    1.90e+00    1.55e+00    9.47e-01
     104.4    8.93e+01    1.43e+01    8.65e+00    5.22e+00    2.74e+00    1.09e+00    8.29e-01    6.48e-01
     111.6    6.63e+01    1.36e+01    7.84e+00    4.30e+00    1.89e+00    8.49e-01    6.36e-01    4.70e-01
     118.8    4.01e+01    9.71e+00    5.29e+00    3.55e+00    9.92e-01    4.85e-01    3.47e-01    2.96e-01
     126.0    2.62e+01    7.28e+00    4.72e+00    3.31e+00    6.75e-01    3.54e-01    2.89e-01    2.37e-01
     133.2    1.50e+01    5.62e+00    3.82e+00    2.57e+00    4.42e-01    2.70e-01    2.18e-01    1.80e-01
     140.4    9.45e+00    4.65e+00    3.72e+00    2.06e+00    2.86e-01    2.01e-01    1.80e-01    1.31e-01
     147.6    6.77e+00    4.28e+00    3.14e+00    1.31e+00    2.08e-01    1.63e-01    1.42e-01    9.14e-02
     154.8    3.88e+00    2.74e+00    1.96e+00    5.96e-01    1.47e-01    1.26e-01    1.07e-01    5.79e-02
     162.0    1.97e+00    1.37e+00    7.34e-01    1.51e-01    1.36e-01    1.17e-01    8.26e-02    3.66e-02
     169.2    7.05e-01    4.76e-01    2.01e-01    5.35e-02    1.07e-01    9.52e-02    5.79e-02    3.09e-02
